id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
507496,HSFML25,香港大盘,1,10.1082,1.015,0.7408,0.49,0.1004,0.0286,1777478400000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1452787200000,1777599120681,1777599120681,False,5,04-30,0.51,0.2592,1.1504
507534,SZ399550,央视50,2,10.1516,0.9993,0.8064,0.1504,0.0984,0.0401,1777996800000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1452787200000,1778063522279,1778063522279,False,5,05-06,0.8496,0.1936,1.3695
507533,SH000925,基本面50,2,10.3501,0.9935,0.8748,0.3664,0.096,0.0375,1777996800000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063522185,1778063522185,False,5,05-06,0.6336,0.1252,1.1916
507495,HKHSCEI,国企指数,1,10.4084,1.0119,0.8372,0.648,0.0972,0.0279,1777478400000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1452787200000,1777599120607,1777599120607,False,5,04-30,0.352,0.1628,1.808
507517,SH000170,50AH优选,1,10.4782,1.202,0.7772,0.762,0.1147,0.0309,1777996800000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063520673,1778063520673,False,5,05-06,0.238,0.2228,1.8531
507514,SH000016,上证50,1,11.6596,1.2249,0.8392,0.4696,0.1051,0.0313,1777996800000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063520400,1778063520400,False,5,05-06,0.5304,0.1608,1.6339
507544,SH000010,上证180,1,12.3392,1.2283,0.8592,0.412,0.0995,0.0286,1777996800000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063523339,1778063523339,False,5,05-06,0.588,0.1408,1.2771
507494,HKHSI,恒生指数,1,12.3576,1.2296,0.8188,0.8152,0.0995,0.031,1777478400000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1452787200000,1777599120536,1777599120536,False,5,04-30,0.1848,0.1812,1.6982
507515,SH000300,沪深300,1,14.7866,1.4688,0.9336,0.542,0.0993,0.0251,1777996800000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063520496,1778063520496,False,5,05-06,0.458,0.0664,0.9885
507558,CSI716567,MSCI中国,1,15.4053,1.517,0.8832,0.6433,0.0985,0.0236,1777996800000,high,2,,0.05,1508688000000,1778063524594,1778063524594,False,5,05-06,0.3567,0.1168,0.8965
507513,SPCQVCP,标普质量,2,15.6419,2.777,0.4152,0.3848,0.1775,0.0208,1777996800000,high,2,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063520277,1778063520277,False,5,05-06,0.6152,0.5848,1.8252
507536,SZ399324,深证红利,2,16.9997,2.3803,0.7568,0.6884,0.14,0.0419,1777996800000,high,2,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063522473,1778063522473,False,5,05-06,0.3116,0.2432,0.7321
